iter	Passed	Remaining
0	157	157319
1	158	79091
2	159	53160
3	161	40285
4	167	33366
5	175	29131
6	185	26323
7	193	23964
8	202	22298
9	210	20850
10	218	19680
11	226	18666
12	230	17463
13	234	16530
14	240	15763
15	243	14956
16	246	14263
17	250	13644
18	252	13040
19	254	12489
20	257	11995
21	259	11524
22	261	11088
23	262	10689
24	264	10323
25	266	9969
26	267	9629
27	268	9320
28	269	9037
29	270	8751
30	272	8504
31	272	8254
32	274	8042
33	275	7839
34	277	7645
35	278	7461
36	280	7289
37	281	7126
38	282	6971
39	284	6825
40	285	6687
41	287	6555
42	288	6429
43	290	6310
44	291	6188
45	293	6078
46	294	5973
47	296	5873
48	297	5775
49	298	5680
50	300	5590
51	301	5504
52	303	5422
53	304	5342
54	305	5255
55	307	5180
56	308	5109
57	310	5039
58	311	4973
59	313	4909
60	314	4836
61	315	4776
62	316	4707
63	318	4653
64	319	4598
65	321	4546
66	322	4494
67	324	4443
68	325	4394
69	327	4346
70	328	4301
71	330	4257
72	331	4209
73	333	4168
74	334	4127
75	335	4082
76	337	4042
77	338	4004
78	340	3966
79	341	3929
80	343	3892
81	344	3856
82	345	3822
83	347	3787
84	348	3754
85	350	3723
86	351	3693
87	353	3663
88	354	3633
89	356	3603
90	358	3576
91	359	3547
92	361	3521
93	363	3501
94	364	3471
95	365	3445
96	367	3417
97	368	3389
98	369	3362
99	370	3335
100	371	3309
101	373	3287
102	375	3266
103	376	3245
104	378	3225
105	379	3203
106	381	3183
107	382	3162
108	384	3140
109	385	3116
110	386	3095
111	388	3077
112	389	3059
113	391	3042
114	393	3024
115	394	3005
116	395	2987
117	396	2966
118	398	2949
119	400	2933
120	401	2917
121	403	2900
122	404	2884
123	406	2868
124	407	2851
125	408	2836
126	410	2821
127	411	2804
128	413	2790
129	414	2776
130	416	2762
131	417	2747
132	419	2734
133	421	2721
134	422	2708
135	424	2695
136	425	2682
137	427	2669
138	428	2656
139	430	2643
140	431	2631
141	433	2618
142	434	2606
143	436	2593
144	437	2582
145	439	2570
146	441	2559
147	442	2549
148	444	2539
149	446	2528
150	447	2516
151	449	2505
152	450	2494
153	452	2483
154	453	2472
155	454	2461
156	456	2449
157	457	2438
158	459	2428
159	460	2418
160	462	2408
161	463	2398
162	465	2388
163	466	2378
164	468	2368
165	469	2358
166	470	2346
167	471	2337
168	473	2328
169	475	2319
170	476	2310
171	478	2302
172	479	2292
173	481	2283
174	482	2275
175	484	2267
176	485	2259
177	487	2251
178	488	2242
179	490	2233
180	491	2225
181	493	2218
182	494	2209
183	496	2201
184	498	2194
185	499	2186
186	501	2179
187	502	2170
188	504	2163
189	505	2155
190	507	2148
191	508	2141
192	510	2133
193	511	2126
194	513	2118
195	514	2110
196	516	2104
197	517	2097
198	519	2090
199	520	2083
200	522	2076
201	523	2069
202	525	2063
203	526	2055
204	527	2047
205	529	2040
206	530	2034
207	532	2027
208	534	2021
209	535	2014
210	537	2008
211	538	2002
212	540	1995
213	541	1989
214	543	1982
215	544	1977
216	546	1971
217	547	1965
218	549	1959
219	550	1953
220	552	1947
221	554	1941
222	556	1937
223	557	1931
224	559	1925
225	560	1918
226	561	1911
227	562	1905
228	564	1899
229	565	1894
230	567	1888
231	568	1882
232	570	1876
233	571	1870
234	572	1864
235	573	1857
236	574	1850
237	576	1844
238	577	1838
239	578	1833
240	580	1827
241	581	1822
242	583	1817
243	585	1813
244	586	1808
245	588	1802
246	589	1796
247	590	1791
248	592	1786
249	593	1781
250	595	1777
251	597	1772
252	598	1767
253	600	1762
254	601	1757
255	603	1752
256	604	1747
257	606	1742
258	607	1738
259	609	1733
260	610	1728
261	612	1724
262	613	1719
263	615	1715
264	616	1710
265	617	1704
266	618	1698
267	620	1694
268	621	1689
269	623	1684
270	624	1680
271	626	1675
272	627	1671
273	629	1666
274	630	1662
275	631	1656
276	633	1652
277	634	1648
278	636	1644
279	637	1639
280	639	1635
281	640	1631
282	642	1627
283	643	1623
284	645	1619
285	646	1615
286	648	1610
287	649	1605
288	650	1601
289	652	1596
290	653	1592
291	655	1588
292	656	1584
293	658	1580
294	660	1577
295	661	1573
296	662	1567
297	663	1562
298	664	1558
299	666	1554
300	667	1550
301	669	1547
302	671	1543
303	672	1539
304	673	1535
305	675	1531
306	676	1528
307	678	1524
308	679	1520
309	681	1517
310	683	1513
311	684	1509
312	686	1506
313	687	1502
314	689	1499
315	690	1494
316	691	1489
317	692	1485
318	694	1482
319	695	1478
320	697	1475
321	699	1472
322	700	1468
323	702	1464
324	703	1461
325	705	1457
326	706	1454
327	708	1450
328	709	1447
329	711	1443
330	712	1440
331	714	1437
332	715	1433
333	717	1430
334	718	1426
335	720	1423
336	722	1420
337	723	1417
338	725	1413
339	726	1410
340	727	1406
341	729	1403
342	730	1400
343	732	1396
344	733	1393
345	735	1390
346	736	1386
347	738	1383
348	740	1380
349	741	1377
350	743	1374
351	744	1370
352	746	1367
353	748	1365
354	749	1362
355	751	1359
356	752	1355
357	753	1351
358	754	1347
359	756	1344
360	757	1340
361	758	1337
362	772	1355
363	774	1352
364	775	1349
365	777	1346
366	784	1353
367	789	1356
368	792	1354
369	794	1353
370	797	1351
371	800	1351
372	803	1349
373	804	1346
374	805	1342
375	807	1339
376	809	1337
377	810	1334
378	812	1330
379	813	1326
380	814	1323
381	815	1319
382	816	1315
383	818	1312
384	819	1309
385	820	1305
386	821	1301
387	823	1299
388	825	1295
389	826	1292
390	827	1289
391	828	1285
392	830	1282
393	831	1278
394	832	1275
395	834	1272
396	836	1269
397	837	1267
398	839	1264
399	841	1261
400	842	1258
401	843	1255
402	845	1251
403	846	1248
404	847	1244
405	848	1241
406	849	1237
407	850	1234
408	852	1232
409	853	1228
410	855	1225
411	856	1222
412	857	1219
413	859	1216
414	860	1213
415	861	1210
416	863	1206
417	864	1204
418	866	1201
419	867	1198
420	869	1195
421	870	1192
422	872	1189
423	873	1187
424	875	1184
425	877	1181
426	878	1178
427	879	1175
428	881	1172
429	882	1170
430	883	1167
431	885	1164
432	886	1161
433	888	1158
434	889	1155
435	891	1152
436	892	1150
437	894	1147
438	895	1144
439	897	1141
440	898	1139
441	900	1136
442	901	1134
443	903	1131
444	904	1128
445	905	1125
446	907	1122
447	908	1119
448	910	1116
449	911	1113
450	912	1111
451	913	1108
452	914	1104
453	915	1101
454	917	1098
455	918	1095
456	919	1092
457	920	1089
458	922	1087
459	923	1084
460	924	1081
461	925	1078
462	927	1075
463	928	1072
464	929	1069
465	930	1066
466	931	1063
467	933	1060
468	934	1058
469	935	1055
470	937	1052
471	938	1050
472	940	1047
473	941	1044
474	942	1042
475	944	1039
476	945	1036
477	946	1033
478	947	1030
479	949	1028
480	950	1025
481	951	1023
482	953	1020
483	954	1018
484	956	1015
485	957	1012
486	958	1009
487	959	1006
488	960	1003
489	961	1001
490	963	998
491	965	996
492	966	993
493	967	990
494	969	988
495	970	986
496	972	983
497	973	981
498	974	978
499	975	975
500	976	972
501	978	970
502	980	968
503	981	966
504	983	963
505	984	961
506	986	958
507	987	956
508	988	953
509	989	950
510	991	948
511	992	946
512	993	943
513	994	940
514	996	938
515	998	936
516	999	933
517	1000	931
518	1002	928
519	1003	926
520	1004	923
521	1006	921
522	1007	918
523	1008	916
524	1010	914
525	1011	911
526	1013	909
527	1014	907
528	1016	905
529	1017	902
530	1018	899
531	1019	897
532	1021	894
533	1022	892
534	1023	890
535	1024	887
536	1026	884
537	1027	882
538	1029	880
539	1030	878
540	1032	875
541	1033	873
542	1034	870
543	1036	868
544	1037	866
545	1039	864
546	1040	861
547	1042	859
548	1043	857
549	1045	855
550	1046	852
551	1047	850
552	1048	847
553	1050	845
554	1051	843
555	1053	841
556	1054	839
557	1056	836
558	1058	834
559	1059	832
560	1060	830
561	1062	827
562	1063	825
563	1064	822
564	1065	820
565	1067	818
566	1068	816
567	1070	814
568	1071	811
569	1073	809
570	1075	807
571	1076	805
572	1078	803
573	1079	801
574	1081	799
575	1081	796
576	1082	793
577	1084	791
578	1085	789
579	1087	787
580	1088	785
581	1090	783
582	1091	780
583	1093	778
584	1094	776
585	1095	773
586	1096	771
587	1098	769
588	1100	767
589	1101	765
590	1103	763
591	1104	761
592	1106	759
593	1107	757
594	1108	754
595	1110	752
596	1111	750
597	1112	748
598	1114	746
599	1115	743
600	1117	741
601	1118	739
602	1120	737
603	1121	735
604	1122	732
605	1123	730
606	1124	728
607	1125	725
608	1127	723
609	1128	721
610	1130	719
611	1131	717
612	1133	715
613	1134	713
614	1135	710
615	1137	708
616	1138	706
617	1140	704
618	1141	702
619	1143	700
620	1145	698
621	1146	696
622	1148	694
623	1149	692
624	1151	690
625	1152	688
626	1154	686
627	1155	684
628	1157	682
629	1158	680
630	1159	678
631	1161	676
632	1162	674
633	1164	671
634	1164	669
635	1166	667
636	1168	665
637	1169	663
638	1170	661
639	1171	659
640	1173	657
641	1174	654
642	1175	652
643	1176	650
644	1178	648
645	1179	646
646	1180	644
647	1182	642
648	1183	639
649	1184	637
650	1185	635
651	1186	633
652	1188	631
653	1189	629
654	1190	627
655	1192	625
656	1193	623
657	1194	620
658	1196	618
659	1197	616
660	1198	614
661	1200	612
662	1201	610
663	1203	608
664	1204	606
665	1205	604
666	1205	602
667	1207	600
668	1208	598
669	1210	596
670	1211	594
671	1213	592
672	1214	589
673	1215	587
674	1216	585
675	1218	583
676	1219	581
677	1221	580
678	1222	578
679	1224	576
680	1225	574
681	1227	572
682	1228	569
683	1229	567
684	1230	565
685	1232	564
686	1233	562
687	1235	560
688	1236	558
689	1238	556
690	1239	554
691	1240	552
692	1242	550
693	1243	548
694	1245	546
695	1246	544
696	1247	542
697	1249	540
698	1250	538
699	1252	536
700	1253	534
701	1254	532
702	1255	530
703	1257	528
704	1258	526
705	1260	524
706	1261	522
707	1262	520
708	1263	518
709	1265	516
710	1266	514
711	1267	512
712	1268	510
713	1269	508
714	1271	506
715	1272	504
716	1273	502
717	1274	500
718	1276	498
719	1277	496
720	1278	494
721	1279	492
722	1281	490
723	1282	488
724	1284	487
725	1285	485
726	1286	483
727	1288	481
728	1289	479
729	1290	477
730	1291	475
731	1293	473
732	1294	471
733	1295	469
734	1297	467
735	1298	465
736	1299	463
737	1300	461
738	1302	459
739	1303	457
740	1305	456
741	1306	454
742	1307	452
743	1308	450
744	1310	448
745	1310	446
746	1312	444
747	1313	442
748	1314	440
749	1316	438
750	1317	436
751	1319	435
752	1320	433
753	1322	431
754	1323	429
755	1324	427
756	1326	425
757	1327	423
758	1328	421
759	1330	420
760	1331	418
761	1332	416
762	1334	414
763	1335	412
764	1336	410
765	1338	408
766	1339	406
767	1340	404
768	1341	403
769	1343	401
770	1344	399
771	1345	397
772	1347	395
773	1348	393
774	1350	392
775	1351	390
776	1353	388
777	1355	386
778	1356	384
779	1358	383
780	1360	381
781	1361	379
782	1363	377
783	1364	375
784	1366	374
785	1367	372
786	1369	370
787	1370	368
788	1371	366
789	1373	365
790	1375	363
791	1376	361
792	1378	359
793	1379	357
794	1381	356
795	1382	354
796	1384	352
797	1385	350
798	1386	348
799	1388	347
800	1390	345
801	1391	343
802	1393	341
803	1394	339
804	1396	338
805	1397	336
806	1398	334
807	1400	332
808	1401	330
809	1403	329
810	1404	327
811	1406	325
812	1407	323
813	1409	321
814	1410	320
815	1412	318
816	1413	316
817	1414	314
818	1416	313
819	1418	311
820	1419	309
821	1420	307
822	1422	305
823	1424	304
824	1425	302
825	1427	300
826	1428	298
827	1430	297
828	1431	295
829	1433	293
830	1434	291
831	1436	289
832	1437	288
833	1439	286
834	1440	284
835	1441	282
836	1443	281
837	1444	279
838	1445	277
839	1447	275
840	1448	273
841	1450	272
842	1451	270
843	1453	268
844	1454	266
845	1456	265
846	1457	263
847	1459	261
848	1460	259
849	1462	258
850	1463	256
851	1465	254
852	1467	252
853	1468	251
854	1470	249
855	1471	247
856	1473	245
857	1474	244
858	1476	242
859	1477	240
860	1479	238
861	1480	237
862	1482	235
863	1483	233
864	1485	231
865	1486	230
866	1487	228
867	1488	226
868	1490	224
869	1491	222
870	1492	221
871	1494	219
872	1495	217
873	1497	215
874	1498	214
875	1499	212
876	1500	210
877	1502	208
878	1503	206
879	1505	205
880	1506	203
881	1508	201
882	1510	200
883	1511	198
884	1513	196
885	1514	194
886	1516	193
887	1517	191
888	1518	189
889	1519	187
890	1520	186
891	1522	184
892	1523	182
893	1525	180
894	1526	179
895	1528	177
896	1529	175
897	1531	173
898	1532	172
899	1533	170
900	1535	168
901	1536	166
902	1537	165
903	1538	163
904	1540	161
905	1541	159
906	1542	158
907	1544	156
908	1545	154
909	1546	152
910	1548	151
911	1549	149
912	1550	147
913	1551	146
914	1553	144
915	1554	142
916	1555	140
917	1557	139
918	1558	137
919	1559	135
920	1561	133
921	1562	132
922	1563	130
923	1565	128
924	1566	127
925	1568	125
926	1569	123
927	1570	121
928	1571	120
929	1573	118
930	1574	116
931	1575	114
932	1576	113
933	1577	111
934	1578	109
935	1580	108
936	1581	106
937	1582	104
938	1584	102
939	1585	101
940	1586	99
941	1588	97
942	1589	96
943	1591	94
944	1592	92
945	1593	90
946	1594	89
947	1596	87
948	1597	85
949	1599	84
950	1600	82
951	1601	80
952	1603	79
953	1604	77
954	1605	75
955	1607	73
956	1608	72
957	1609	70
958	1611	68
959	1612	67
960	1613	65
961	1615	63
962	1616	62
963	1618	60
964	1619	58
965	1620	57
966	1621	55
967	1623	53
968	1624	51
969	1626	50
970	1627	48
971	1628	46
972	1630	45
973	1631	43
974	1632	41
975	1634	40
976	1635	38
977	1636	36
978	1638	35
979	1639	33
980	1640	31
981	1641	30
982	1643	28
983	1644	26
984	1645	25
985	1646	23
986	1648	21
987	1649	20
988	1650	18
989	1651	16
990	1652	15
991	1654	13
992	1655	11
993	1656	10
994	1658	8
995	1659	6
996	1661	4
997	1662	3
998	1663	1
999	1665	0
